high_school,city,submitted_oct232020,complete_oct232020,submitted_oct232019,complete_oct232019
MERGENTHALER VOCATIONAL-TECHNICAL HIGH,BALTIMORE,219,197,222,208
MIDDLETOWN HIGH,MIDDLETOWN,176,171,185,179
MILFORD MILL ACADEMY,BALTIMORE,173,159,226,214
MONTGOMERY BLAIR HIGH,SILVER SPRING,542,525,540,513
MOUNT AIRY CHRISTIAN ACADEMY,MT AIRY,18,17,16,16
MOUNT DE SALES ACADEMY,BALTIMORE,111,110,97,96
MOUNT HEBRON HIGH,ELLICOTT CITY,315,313,290,282
MOUNT OAK CHRISTIAN SCHOOL,BOWIE,1,1,6,6
MOUNT SAINT JOSEPH HIGH SCHOOL,BALTIMORE,162,161,153,150
MOUNTAIN RIDGE HIGH SCHOOL,FROSTBURG,125,119,120,120
N.A.C.A. FREEDOM AND DEMOCRACY ACADEMY II,BALTIMORE,15,12,23,18
NATIONAL ACADEMY FOUNDATION,BALTIMORE,43,40,59,54
NATIONAL CHRISTIAN ACADEMY,FT WASHINGTON,26,26,19,18
NEW COVENANT CHRISTIAN SCHOOL,ABINGDON,1,1,5,5
NEW ERA ACADEMY,BALTIMORE,20,15,43,40
NEW HOPE ACADEMY,LANDOVER HILLS,7,7,5,5
NEW LIFE CHRISTIAN SCHOOL,FREDERICK,12,12,8,8
NEW TOWN HIGH,OWINGS MILLS,187,171,207,197
NORTH CAROLINE HIGH SCHOOL,RIDGELY,139,133,124,118
NORTH COUNTY HIGH,GLEN BURNIE,282,268,314,294
NORTH DORCHESTER HIGH SCHOOL,HURLOCK,53,53,62,59
NORTH EAST HIGH,NORTH EAST,129,126,133,129
NORTH HAGERSTOWN HIGH,HAGERSTOWN,172,160,182,172
NORTH HARFORD HIGH,PYLESVILLE,165,158,165,163
NORTH POINT HIGH SCHOOL,WALDORF,307,297,315,302
NORTHEAST HIGH,PASADENA,177,166,190,183
NORTHERN GARRETT HIGH SCHOOL,ACCIDENT,50,47,69,69
NORTHERN HIGH,OWINGS,246,238,233,227
NORTHWEST HIGH,GERMANTOWN,458,435,451,428
NORTHWESTERN EVENING/SATURDAY HIGH,HYATTSVILLE,22,14,11,9
NORTHWESTERN HIGH,HYATTSVILLE,265,233,210,197
NORTHWOOD HIGH SCHOOL,SILVER SPRING,271,246,245,226
NOTRE DAME PREPARATORY SCHOOL,TOWSON,111,109,134,132
OAK GROVE CLASSICAL CHRISTIAN SCHOOL,BEL AIR,5,5,1,1
OAKDALE HIGH,IJAMSVILLE,231,225,246,240
OAKLAND MILLS HIGH,COLUMBIA,213,199,171,163
OLD MILL HIGH,MILLERSVILLE,342,316,326,313
OLDFIELDS SCHOOL,SPARKS GLENCOE,15,14,17,17
OPEN BIBLE CHRISTIAN ACADEMY,KINGSVILLE,8,8,7,7
OUR LADY OF GOOD COUNSEL HIGH SCHOOL,OLNEY,217,212,203,196
OUR LADY OF MT CARMEL SCHOOL,ESSEX,29,29,39,39
OVERLEA HIGH & ACADEMY OF FINANCE,BALTIMORE,109,101,146,135
OWINGS MILLS HIGH,OWINGS MILLS,142,133,161,149
OXON HILL HIGH,OXON HILL,234,225,250,238
PAINT BRANCH HIGH,BURTONSVILLE,391,374,396,384
PARK SCHOOL OF BALTIMORE,BROOKLANDVILLE,48,47,57,57
PARKDALE HIGH,RIVERDALE,255,222,301,286
PARKSIDE HIGH,SALISBURY,166,159,171,166
PARKVILLE HIGH & CENTER FOR MATH/SCIENCE,BALTIMORE,262,239,220,208
PATAPSCO HIGH & CENTER FOR ARTS,BALTIMORE,194,180,193,182
PATTERSON HIGH,BALTIMORE,72,66,101,91
PATTERSON MILL HIGH SCHOOL,BEL AIR,149,147,132,128
PATUXENT HIGH,LUSBY,135,130,118,116
PAUL LAURENCE DUNBAR HIGH,BALTIMORE,119,104,127,117
PENN FOSTER,LAUREL,1,1,5,5
PERRY HALL CHRISTIAN SCHOOL,PERRY HALL,18,18,20,19
PERRY HALL HIGH,BALTIMORE,360,345,342,331
PERRYVILLE HIGH,PERRYVILLE,97,92,109,106
PHOENIX ACADEMY,ANNAPOLIS,9,7,13,11
PIKESVILLE HIGH,BALTIMORE,154,144,157,145
POCOMOKE HIGH,POCOMOKE CITY,69,65,53,52
POOLESVILLE HIGH,POOLESVILLE,237,234,243,237
POTOMAC HIGH,OXON HILL,165,149,147,137
PROVIDENCE CHRISTIAN ACADEMY,ELKTON,6,6,18,17
QUEEN ANNE'S COUNTY HIGH SCHOOL,CENTREVILLE,176,165,160,153
QUINCE ORCHARD HIGH,GAITHERSBURG,403,387,346,333
RANDALLSTOWN HIGH,RANDALLSTOWN,150,138,144,136
REDEEMER CLASSICAL CHRISTIAN SCHOOL,KINGSVILLE,13,13,13,13
REGINALD F. LEWIS HIGH,BALTIMORE,52,47,60,55
RENAISSANCE ACADEMY,BALTIMORE,12,7,16,14
RESERVOIR HIGH,FULTON,269,259,272,264
RICHARD MONTGOMERY HIGH,ROCKVILLE,452,442,434,422
RISING SUN HIGH,NORTH EAST,172,166,164,159
RIVER HILL HIGH,CLARKSVILLE,234,229,206,204
RIVERDALE BAPTIST SCHOOL,UPPER MARLBORO,30,29,51,51
ROCK CREEK CHRISTIAN ACADEMY,UPPER MARLBORO,5,1,9,9
ROCKBRIDGE ACADEMY,MILLERSVILLE,19,19,22,22
ROCKVILLE HIGH,ROCKVILLE,252,246,258,246
ROLAND PARK COUNTRY SCHOOL,BALTIMORE,44,43,41,40
ROSEDALE BAPTIST SCHOOL,BALTIMORE,17,17,10,9
SALEM CHRISTIAN HOME SCHOOL,UPPER FALLS,1,1,6,6
SALISBURY CHRISTIAN SCHOOL,SALISBURY,25,25,31,31
SANDY SPRING FRIENDS SCHOOL,SANDY SPRING,40,39,43,42
SENECA VALLEY HIGH,GERMANTOWN,174,160,168,157
SEVERN SCHOOL,SEVERNA PARK,63,61,64,64
SEVERNA PARK HIGH,SEVERNA PARK,154,153,245,242
SHERWOOD HIGH,SANDY SPRING,339,328,344,333
SILVER OAK ACADEMY,KEYMAR,10,10,9,9
SMCA,WHITE PLAINS,8,7,10,10
SMITHSBURG HIGH,SMITHSBURG,94,91,95,89
SNOW HILL HIGH,SNOW HILL,43,40,54,51
SOUTH CARROLL HIGH,SYKESVILLE,183,180,165,162
SOUTH HAGERSTOWN HIGH,HAGERSTOWN,149,137,150,142
SOUTH RIVER HIGH,EDGEWATER,331,319,329,319
SOUTHERN GARRETT HIGH SCHOOL,OAKLAND,96,90,109,108
SOUTHERN HIGH,HARWOOD,72,71,115,110
SPARROWS POINT HIGH,SPARROWS POINT,146,142,136,127
SPENCERVILLE ADVENTIST ACADEMY,SILVER SPRING,36,36,27,26
SPRINGBROOK HIGH,SILVER SPRING,296,283,296,275
SS PETER & PAUL HIGH SCHOOL,EASTON,33,31,30,29
ST ANDREW'S EPISCOPAL SCHOOL,POTOMAC,39,38,33,32
ST FRANCES ACADEMY,BALTIMORE,42,40,25,24
ST JAMES SCHOOL,ST JAMES,24,24,33,32
ST JOHN'S CATHOLIC PREP,FREDERICK,61,59,48,45
ST MARIA GORETTI HIGH SCHOOL,HAGERSTOWN,39,39,34,34
ST MARY S RYKEN HIGH SCHOOL,LEONARDTOWN,125,121,116,115
ST MARYS HIGH SCHOOL,ANNAPOLIS,78,76,74,73
ST PAULS SCHOOL,BROOKLANDVILLE,54,54,47,45
ST PAUL'S SCHOOL FOR GIRLS,BROOKLANDVILLE,50,49,48,47
ST TIMOTHYS SCHOOL,STEVENSON,25,25,26,25
ST VINCENT PALLOTTI HIGH SCHOOL,LAUREL,69,69,90,87
ST. CHARLES HIGH SCHOOL,WALDORF,231,219,211,198
ST. MICHAELS MIDDLE/HIGH SCHOOL,ST MICHAELS,43,41,38,36
STEPHEN DECATUR HIGH,BERLIN,181,173,251,241
STONE RIDGE SCHOOL OF THE SACRED HEART,BETHESDA,53,53,54,52
SUITLAND HIGH,FORESTVILLE,243,225,261,247
SURRATTSVILLE HIGH,CLINTON,94,86,101,93
TAKOMA ACADEMY,TAKOMA PARK,51,48,35,35
TALL OAKS HIGH,BOWIE,16,13,16,13
TALMUDICAL ACADEMY-BALTIMORE,BALTIMORE,12,11,10,10
THE BULLIS SCHOOL,POTOMAC,69,67,73,72
THE CALVERTON SCHOOL,HUNTINGTOWN,17,17,19,19
THE CATHOLIC HIGH SCHOOL OF BALTIMORE,BALTIMORE,94,91,50,48
THE GUNSTON SCHOOL,CENTREVILLE,30,30,32,32
THE HEIGHTS SCHOOL,POTOMAC,33,33,38,37
THE KINGS CHRISTIAN ACADEMY,CALLAWAY,9,9,23,23
THE NORA SCHOOL,SILVER SPRING,15,15,9,9
THE REACH! PARTNERSHIP SCHOOL,BALTIMORE,59,46,59,56
THE SALISBURY SCHOOL,SALISBURY,15,15,22,20
THE SEED SCHOOL OF MARYLAND,BALTIMORE,27,24,44,40
THE SIENA SCHOOL,SILVER SPRING,9,9,5,5
THE TOME SCHOOL,NORTH EAST,28,28,28,28
THOMAS S. WOOTTON HIGH,ROCKVILLE,395,387,388,381
THOMAS STONE HIGH SCHOOL,WALDORF,151,138,163,152
TOWSON HIGH LAW & PUBLIC POLICY,TOWSON,301,288,310,304
TRI-STATE CHRISTIAN ACADEMY,ELKTON,7,7,10,9
TUSCARORA HIGH,FREDERICK,226,218,274,264
URBANA HIGH,IJAMSVILLE,335,331,337,333
VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,BALTIMORE,50,41,59,55
WALKERSVILLE CHRISTIAN FAMILY SCHOOL,SABILLASVILLE,1,1,10,10
WALKERSVILLE HIGH,WALKERSVILLE,174,169,182,176
WALT WHITMAN HIGH,BETHESDA,284,274,265,260
WALTER JOHNSON HIGH,BETHESDA,440,430,405,398
WASHINGTON ACADEMY AND HIGH SCHOOL,PRINCESS ANNE,39,37,53,50
WASHINGTON CHRISTIAN ACADEMY,OLNEY,20,19,20,20
WASHINGTON COUNTY TECHNICAL HIGH,HAGERSTOWN,138,130,138,133
WASHINGTON WALDORF SCHOOL,BETHESDA,12,11,14,14
WATKINS MILL HIGH,GAITHERSBURG,248,240,253,244
WEST NOTTINGHAM ACADEMY,COLORA,13,13,7,7
WESTERN HIGH,BALTIMORE,184,170,195,187
WESTERN SCHOOL OF TECHNOLOGY & ENV. SCIENCE,BALTIMORE,179,173,205,202
WESTLAKE HIGH SCHOOL,WALDORF,198,182,212,206
WESTMINSTER HIGH,WESTMINSTER,243,237,251,248
WHEATON HIGH,SILVER SPRING,320,304,323,311
WICOMICO COUNTY EVENING HIGH,SALISBURY,7,7,8,8
WICOMICO HIGH,SALISBURY,139,128,140,131
WILDE LAKE HIGH,COLUMBIA,241,231,209,201
WILLIAMSPORT HIGH,WILLIAMSPORT,90,84,101,95
WINSTON CHURCHILL HIGH,POTOMAC,371,363,359,351
WINTERS MILL HIGH,WESTMINSTER,149,143,173,166
WOODLAWN HIGH CENTER FOR PRE-ENG. RES.,BALTIMORE,190,176,192,173
WOODSTREAM CHRISTIAN ACADEMY,MITCHELLVILLE,8,8,1,1
WORCESTER PREPARATORY SCHOOL,BERLIN,35,34,36,36
WYE RIVER UPPER SCHOOL,CENTERVILLE,1,1,7,6
YESHIVA OF GREATER WASHINGTON BOYS DIVISION,SILVER SPRING,21,21,14,13
